Episode,Title,Tags,Recommendation,Rating
3x07,Sacred Ground,,-,3.3
3x08 & 09,Future's End (Parts I and II),🕖🌎A🟡, 🕶 Must Watch,8.5
3x10,Warlord,♥️,-,5.1
3x11,The Q and the Grey,Q, ✔ Recommended,4
3x12,Macrocosm,,-,4.1
3x13,Fair Trade,, ✔ Recommended,5
3x14,Alter Ego,,-,5.8
3x15,Coda,,-,3.1
3x16,Blood Fever,,-,4.3
3x17,Unity,🤖, ✔ Recommended,6.2
3x18,Darkling,,-,3
3x19,Rise,, ✔ Recommended,5.1
3x20,Favorite Son,,-,2.9
3x21,Before and After,🕖, 🕶 Must Watch,7.9
3x22,Real Life,, ✔ Recommended,5.9
3x23,Distant Origin,, ✔ Recommended,8.1
3x24,Displaced,,-,5.5
3x25,Worst Case Scenario,🟨, ✔ Recommended,7.6
3x26,Scorpion (Part I),🤖🥈A🟡, 🕶 ‼ Must Watch/Bare Minimum,9.7
4x01,Scorpion (Part II),🤖🥈A🟡, 🕶 ‼ Must Watch/Bare Minimum,9.7
4x02,The Gift,, 🕶 Must Watch,6.5
4x03,Day of Honor,, ✔ Recommended,7
4x04,Nemesis,,-,4.1
4x05,Revulsion,,-,4.9
4x06,The Raven,, 🕶 Must Watch,6.3
4x07,Scientific Method,,-,6.3
4x08 & 09,Year of Hell (Parts I and II),🕖🥇A🟡, 🕶 ‼ Must Watch/Bare Minimum,9.6
4x10,Random Thoughts,,-,4.6
4x11,Concerning Flight,, ✔ Recommended,5.1
4x12,Mortal Coil,,-,5.2
4x13,Waking Moments,,-,6.3
4x14,Message in a Bottle,♥️, 🕶 ‼ Must Watch/Bare Minimum,8.3
4x15,Hunters,, 🕶 Must Watch,6.8
4x16,Prey,, ✔ Recommended,6.6
4x17,Retrospect,,-,4.4
4x18 & 19,The Killing Game (Parts I and II),🟨🌎V🟡, 🕶 Must Watch,6.4
4x20,Vis à Vis,,-,4.5
4x21,The Omega Directive,, ✔ Recommended,7
4x22,Unforgettable,,-,4.3
4x23,Living Witness,👨🏻‍🤝‍👨🏻, ✔ Recommended,9
4x24,Demon,,-,4.3
4x25,One,, ✔ Recommended,6.9
4x26,Hope and Fear,, 🕶 Must Watch,7.4
5x01,Night,, ✔ Recommended,5.3
5x02,Drone,, ✔ Recommended,7.3
5x03,Extreme Risk,, 🕶 ‼ Must Watch/Bare Minimum,4.6
5x04,In the Flesh,🌎, ✔ Recommended,5.4
5x05,Once Upon a Time,,-,4.3
5x06,Timeless,🕖V🟡, 🕶 Must Watch,8.8
5x07,Infinite Regress,,-,6.1
5x08,Nothing Human,,-,5.6
5x09,Thirty Days,,-,6.1
5x10,Counterpoint,, ✔ Recommended,7.6
5x11,Latent Image,, ✔ Recommended,7.3
5x12,Bride of Chaotica!,🟨,-,6.9
5x13,Gravity,♥️,-,6.2
5x14,Bliss,,-,6
5x15/16 [FL],Dark Frontier,🤖V🟡, 🕶 Must Watch,8.9
5x17,The Disease,,-,3.5
5x18,Course: Oblivion,,-,5
5x19,The Fight,,-,1.5
5x20,Think Tank,, ✔ Recommended,6.9
5x21,Juggernaut,,-,4.8
5x22,Someone to Watch Over Me,, ✔ Recommended,6.6
5x23,11:59,🌌P⚑V🟡,-,3.2
5x24,Relativity,🕖♥️, ✔ Recommended,9
5x25,Warhead,,-,6.4
5x26,Equinox (Part I),, 🕶 Must Watch,7.5
6x01,Equinox (Part II),, 🕶 Must Watch,7.5
6x02,Survival Instinct,, ✔ Recommended,7.1
6x03,Barge of the Dead,,-,5.2
6x04,Tinker Tenor Doctor Spy,, ✔ Recommended,7.6
6x05,Alice,,-,4.6
6x06,Riddles,,-,6.5
6x07,Dragon's Teeth,,-,6.1
6x08,One Small Step,🌎,-,6.4
6x09,The Voyager Conspiracy,, ✔ Recommended,6
6x10,Pathfinder,🌎P⚑V🟡, 🕶 ‼ Must Watch/Bare Minimum,7.6
6x11,Fair Haven,🟨,-,2.2
6x12,Blink of an Eye,🕖,-,7.1
6x13,Virtuoso,,-,6.3
6x14,Memorial,,-,4.9
6x15,Tsunkatse,,-,4.5
6x16,Collective,, ✔ Recommended,4.9
6x17,Spirit Folk,🟨,-,2.5
6x18,Ashes to Ashes,,-,5.4
6x19,Child's Play,, ✔ Recommended,5.8
6x20,Good Shepherd,,-,4.2
6x21,Live Fast and Prosper,,-,6.2
6x22,Muse,,-,6.6
6x23,Fury,🕖, ✔ Recommended,3.9
6x24,Life Line,🌎, ✔ Recommended,8.4
6x25,The Haunting of Deck Twelve,,-,5.6
6x26,Unimatrix Zero (Part I),🤖, ✔ Recommended,4.4
7x01,Unimatrix Zero (Part II),🤖, ✔ Recommended,4.4
7x02,Imperfection,, ✔ Recommended,7.7
7x03,Drive,♥️,-,6.3
7x04,Repression,,-,4
7x05,Critical Care,♥️,-,7
7x06,Inside Man,🌎, ✔ Recommended,6.2
7x07,Body and Soul,,-,6
7x08,Nightingale,,-,3.6
7x09/10 [FL],Flesh and Blood,🟨, ✔ Recommended,6.6
7x11,Shattered,🕖, ✔ Recommended,6.2
7x12,Lineage,, ✔ Recommended,5.8
7x13,Repentance,,-,5.9
7x14,Prophecy,,-,4.6
7x15,The Void,,-,7.3
7x16 & 17,Workforce (Parts I and II),, ✔ Recommended,7.2
7x18,Human Error,, ✔ Recommended,4
7x19,Q2,Q,-,5.2
7x20,"Author, Author",⚖️V🟡, ✔ Recommended,7.3
7x21,Friendship One,🌎,-,4.6
7x22,Natural Law,,-,5.5
7x23,Homestead,, 🕶 Must Watch,5.6
7x24,Renaissance Man,, ✔ Recommended,6.3
7x25/26 [FL],Endgame,🕖🤖, 🕶 ‼ Must Watch/Bare Minimum,6.7
